Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780026943,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780026944,50,,Aggregated,0.000000,0.000000,390,420,440,450,490,520,520,540,540,540,540,52,0,390,361.0446338654863,49.21299999841722,538.5647919974872,159.46153846153845
1780026945,100,,Aggregated,0.000000,0.000000,440,490,550,600,860,890,960,980,990,990,990,104,0,420,460.87682694241477,49.21299999841722,993.3367080011521,214.0096153846154
1780026946,150,,Aggregated,20.000000,0.000000,420,490,560,640,880,950,1000,1100,1100,1100,1100,169,0,420,467.35088069239197,49.21299999841722,1131.0061249969294,209.1360946745562
1780026947,200,,Aggregated,29.000000,0.000000,440,540,610,670,870,960,1100,1100,1100,1100,1100,235,0,440,484.09859807217526,45.48899999645073,1131.0061249969294,216.46382978723403
1780026948,200,,Aggregated,42.333333,0.000000,450,570,660,710,900,1000,1200,1300,1700,1700,1700,283,0,450,509.5118504309298,45.48899999645073,1730.6285419981577,249.2862190812721
1780026949,200,,Aggregated,48.500000,0.000000,450,580,660,700,910,1000,1200,1300,1700,1700,1700,326,0,450,516.3616101869532,45.48899999645073,1730.6285419981577,262.7269938650307
1780026950,200,,Aggregated,49.400000,0.000000,470,610,680,770,940,1100,1200,1400,1700,1700,1700,366,0,470,541.2001548386405,45.48899999645073,1730.6285419981577,271.3524590163934
1780026951,200,,Aggregated,49.666667,0.000000,510,640,730,820,990,1100,1400,1400,1700,1700,1700,414,0,510,572.2475022244766,45.48899999645073,1730.6285419981577,281.9154589371981
1780026952,200,,Aggregated,48.285714,0.000000,540,670,780,850,1000,1200,1400,1500,1700,1700,1700,464,0,540,593.2139452326016,45.48899999645073,1730.6285419981577,283.39870689655174
1780026953,200,,Aggregated,47.250000,0.000000,500,640,750,830,990,1200,1400,1600,6900,6900,6900,522,0,500,599.1846808829414,45.48899999645073,6905.643208003312,291.09961685823754
1780026954,200,,Aggregated,47.666667,0.000000,500,640,740,810,980,1200,1400,1600,6900,6900,6900,572,0,500,595.1636412532521,45.48899999645073,6905.643208003312,290.763986013986
1780026955,200,,Aggregated,47.900000,0.000000,500,640,730,800,960,1100,1400,1600,6900,6900,6900,614,0,500,587.5799985876614,45.48899999645073,6905.643208003312,289.68078175895766
1780026956,200,,Aggregated,51.400000,0.000000,480,620,720,810,990,1200,1400,1600,6900,6900,6900,670,0,480,581.6295243340867,45.48899999645073,6905.643208003312,289.98805970149255
1780026957,200,,Aggregated,53.500000,0.000000,460,600,700,780,970,1200,1400,1600,6900,6900,6900,724,0,460,566.1409691130345,45.48899999645073,6905.643208003312,290.50414364640886
1780026958,200,,Aggregated,50.800000,0.000000,440,590,690,770,970,1200,1600,4700,7500,7500,7500,784,0,440,579.2718084717586,35.31674999976531,7537.579541000014,288.0905612244898
1780026959,200,,Aggregated,49.200000,0.000000,430,580,680,770,980,1200,3100,5400,8500,8500,8500,847,0,430,603.0145886562823,35.31674999976531,8465.19770899613,293.31050767414405
1780026960,200,,Aggregated,49.500000,0.000000,410,550,660,730,960,1200,2000,5400,8500,8500,8500,904,0,410,582.4069267222256,35.31674999976531,8465.19770899613,292.00995575221236
1780026961,200,,Aggregated,50.400000,0.000000,390,530,640,710,940,1200,1700,5400,8500,8500,8500,968,0,390,559.7786865226166,35.31674999976531,8465.19770899613,295.3935950413223
1780026962,200,,Aggregated,52.500000,0.000000,370,510,610,690,930,1100,1600,5300,7500,8500,8500,1029,0,370,537.4068610008882,35.31674999976531,8465.19770899613,298.3206997084548
1780026963,200,,Aggregated,54.400000,0.000000,350,480,600,670,900,1100,1600,5300,7500,8500,8500,1094,0,350,513.4154325584235,35.31674999976531,8465.19770899613,299.7138939670932
1780026964,200,,Aggregated,55.800000,0.000000,340,460,580,650,880,1100,1500,4700,7500,8500,8500,1157,0,340,491.88972904832104,34.305624998523854,8465.19770899613,299.39844425237686
1780026965,200,,Aggregated,56.900000,0.000000,320,440,560,630,880,1100,1500,4100,7500,8500,8500,1222,0,320,473.38639584197335,34.305624998523854,8465.19770899613,300.85761047463177
1780026966,200,,Aggregated,57.800000,0.000000,310,430,540,610,860,1100,1500,4100,7500,8500,8500,1292,0,310,452.9116841911193,34.305624998523854,8465.19770899613,302.53328173374615
1780026967,200,,Aggregated,58.100000,0.000000,300,410,520,600,860,1000,1500,4100,7500,8500,8500,1364,0,290,432.2026817103557,32.71962500002701,8465.19770899613,303.9926686217009
1780026968,200,,Aggregated,60.900000,0.000000,280,400,500,590,840,1000,1500,4100,7500,8500,8500,1429,0,280,414.78600890969335,32.71962500002701,8465.19770899613,303.54653603918825
1780026969,200,,Aggregated,62.500000,0.000000,270,380,480,570,820,1000,1400,4100,7500,8500,8500,1496,0,270,398.3367365079983,32.71962500002701,8465.19770899613,304.17045454545456
1780026970,200,,Aggregated,64.200000,0.000000,250,370,460,550,800,1000,1400,4000,7500,8500,8500,1554,0,250,385.32203025866806,32.71962500002701,8465.19770899613,304.20527670527673
1780026971,200,,Aggregated,63.900000,0.000000,240,350,450,540,790,1000,1400,3100,7500,8500,8500,1614,0,240,373.3077437924143,32.71962500002701,8465.19770899613,307.4467162329616
1780026972,200,,Aggregated,65.000000,0.000000,220,340,440,530,780,1000,1400,3100,7500,8500,8500,1674,0,220,361.93304571442604,32.71962500002701,8465.19770899613,307.30406212664275
1780026973,200,,Aggregated,64.400000,0.000000,200,330,430,510,770,990,1400,3100,7500,8500,8500,1745,0,200,350.21005658220116,32.71962500002701,8465.19770899613,308.6733524355301
1780026974,200,,Aggregated,64.400000,0.000000,180,320,420,490,750,970,1300,2800,7500,8500,8500,1814,0,180,339.31743310417284,32.71962500002701,8465.19770899613,309.3544652701213
1780026975,200,,Aggregated,64.200000,0.000000,160,310,410,480,730,960,1300,2800,7500,8500,8500,1882,0,160,328.94694052442503,30.72516599786468,8465.19770899613,308.45589798087144
1780026976,200,,Aggregated,65.100000,0.000000,140,310,400,470,720,950,1300,2600,7500,8500,8500,1943,0,140,320.7541554863265,30.72516599786468,8465.19770899613,308.60113226968605
1780026977,200,,Aggregated,66.000000,0.000000,120,300,380,450,710,950,1300,2000,7300,8500,8500,2011,0,120,311.5667979164294,30.72516599786468,8465.19770899613,310.70561909497764
1780026978,200,,Aggregated,65.100000,0.000000,110,290,370,440,690,940,1300,2000,7300,8500,8500,2073,0,110,303.7609170395252,30.72516599786468,8465.19770899613,311.9763627592861
1780026979,200,,Aggregated,64.400000,0.000000,93,280,360,440,680,930,1300,1700,7300,8500,8500,2147,0,93,295.13482371677617,30.72516599786468,8465.19770899613,311.7713088029809
1780026980,200,,Aggregated,64.100000,0.000000,83,270,350,430,670,910,1200,1600,7300,8500,8500,2217,0,83,287.5252577514235,30.72516599786468,8465.19770899613,310.98556608028866
